month_year,negative,positive
2020-09,1,0
2020-09,0,1
2020-09,1,0
2020-09,1,0
2020-09,0,1
2020-09,0,1
2020-09,1,0
2020-09,1,0
2020-09,1,0
2020-09,1,0
2020-09,0,1
2020-09,0,1
2020-09,1,0
2020-09,1,0
2020-09,0,1
2020-09,0,1
2020-09,0,1
2020-09,0,1
2020-09,1,0
2020-09,0,1
2020-09,0,1
2020-09,1,0
2020-09,1,0
2020-09,0,1
2020-09,0,1
2020-09,0,1
2020-09,0,1
2020-09,0,1
2020-09,0,1
2020-09,0,1
2020-09,0,1
2020-09,0,1
2020-09,0,1
2020-09,0,1
2020-09,0,1
2020-09,0,1
2020-09,0,1
2020-09,0,1
2020-09,1,0
2020-09,1,0
2020-09,1,0
2020-09,0,1
2020-09,0,1
2020-09,0,1
2020-09,1,0
2020-09,1,0
2020-09,1,0
2020-09,1,0
2020-09,0,1
2020-09,1,0
2020-09,0,1
2020-09,1,0
2020-09,1,0
2020-09,0,1
2020-09,1,0
2020-09,1,0
2020-09,0,1
2020-09,1,0
2020-09,1,0
2020-09,1,0
2020-09,0,1
2020-09,1,0
2020-09,1,0
2020-09,1,0
2020-09,0,1
2020-09,1,0
2020-09,0,1
2020-09,1,0
2020-09,1,0
2020-09,0,1
2020-09,1,0
2020-09,1,0
2020-09,1,0
2020-09,1,0
2020-09,1,0
2020-09,1,0
2020-09,1,0
2020-09,1,0
2020-09,0,1
2020-09,1,0
2020-09,0,1
2020-09,0,1
2020-09,0,1
2020-09,0,1
2020-09,1,0
2020-09,0,1
2020-09,1,0
2020-09,0,1
2020-09,0,1
2020-09,0,1
2020-09,1,0
2020-09,1,0
2020-09,1,0
2020-09,0,1
2020-09,1,0
2020-09,1,0
2020-09,0,1
2020-09,0,1
2020-09,0,1
2020-09,1,0
2020-09,0,1
2020-09,1,0
2020-09,1,0
2020-09,1,0
2020-09,0,1
2020-09,0,1
2020-09,0,1
2020-09,1,0
2020-09,0,1
2020-09,1,0
2020-09,1,0
2020-09,0,1
2020-09,1,0
2020-09,1,0
2020-09,0,1
2020-09,0,1
2020-09,0,1
2020-09,1,0
2020-09,1,0
2020-09,0,1
2020-09,1,0
2020-09,1,0
2020-09,1,0
2020-09,1,0
2020-09,0,1
2020-09,1,0
2020-09,1,0
2020-09,1,0
2020-09,1,0
2020-09,1,0
2020-09,1,0
2020-09,1,0
2020-09,0,1
2020-09,1,0
2020-09,1,0
2020-09,1,0
2020-09,1,0
2020-09,1,0
2020-09,0,1
2020-09,0,1
2020-09,0,1
2020-09,1,0
2020-09,1,0
2020-09,1,0
2020-09,1,0
2020-09,1,0
2020-09,1,0
2020-09,1,0
2020-09,0,1
2020-09,1,0
2020-09,1,0
2020-09,0,1
2020-09,1,0
2020-09,1,0
2020-09,0,1
2020-09,1,0
2020-09,1,0
2020-09,1,0
2020-09,1,0
2020-09,1,0
2020-09,1,0
2020-09,1,0
2020-09,1,0
2020-09,1,0
2020-09,1,0
2020-09,1,0
2020-09,0,1
2020-09,1,0
2020-09,1,0
2020-09,1,0
2020-09,1,0
2020-09,1,0
2020-09,0,1
2020-09,1,0
2020-09,0,1
